identifier,name,adresse,postnummer,poststed,landkode,land
815863372,PRESS PLAY PRODUCTIONS AS,Finnestadsvingen 24,4029.0,STAVANGER,NO,Norge
819037612,GONDAL & COMPANY FOZIA MOBIN,Linderudsletta 3B,593.0,OSLO,NO,Norge
820444442,ODFJELL INVEST II AS,Kokstadflaten 35,5257.0,KOKSTAD,NO,Norge
843503942,PROLYS AS,Østlifaret 9,1476.0,RASTA,NO,Norge
844734972,HANSVIK EIENDOM AS,Sørveien 35,7900.0,RØRVIK,NO,Norge
863939232,EIK TREVARE AS,Kanalveien 1,3127.0,TØNSBERG,NO,Norge
871499632,FREDRIKSVERN SANTITETSFORENING,Rådhusgaten 2,3290.0,STAVERN,NO,Norge
880346792,NUTRICIA NORGE AS,Drammensveien 123,277.0,OSLO,NO,Norge
894798742,KVALFJORD KYSTFISKE AS,Kvalfjordveien 11,9531.0,KVALFJORD,NO,Norge
898283852,MOMRAK VERKSTAD AS,Molandsmoen 5,3870.0,FYRESDAL,NO,Norge
911611163,KRAVIA AS,Langgata 30,4306.0,SANDNES,NO,Norge
911727242,OLIVEN KJØKKEN OG BAR AS,Langbølgen 5,1150.0,OSLO,NO,Norge
912061337,PROVENDER HOLDINGS AS,Henrik Ibsens gate 60C,255.0,OSLO,NO,Norge
912093115,SAMEIET OKSTAD HAGEBY B5B,Okstadveien 267-297,7075.0,TILLER,NO,Norge
912196321,NORRENS AS,Høstbakken 11,1793.0,TISTEDAL,NO,Norge
912221857,MARCEL TIEDJE MUSIKK,Auglandsveien 11,4620.0,KRISTIANSAND S,NO,Norge
912228738,SERO AS,Stasjonsveien 44,1396.0,BILLINGSTAD,NO,Norge
912548732,BAKKE AS,Finstadhagan Næringspark,1930.0,AURSKOG,NO,Norge
913357507,DATUM AS,Munkedamsveien 45F,250.0,OSLO,NO,Norge
913888200,SAMEIET OKSTAD HAGEBY B3/B4,Okstadvegen 211-233,7075.0,TILLER,NO,Norge
914216869,CMDC AS,Dragvoll alle 20C,7049.0,TRONDHEIM,NO,Norge
914406242,AVFALLSFORUM ROGALAND,c/o IVAR IKS Breiflåtveien 16/18,4017.0,STAVANGER,NO,Norge
915296718,BARMEN AS,Omavegen 210,5632.0,OMASTRAND,NO,Norge
915436471,ALMÅS MUSIKK AS,Dyråsen 5D,5410.0,SAGVÅG,NO,Norge
915630952,BJØRUM BARNEHAGE AS,Prestegårdsstien 6,7804.0,NAMSOS,NO,Norge
916213158,BUTIKKDRIFT MELANIE STRØM,Rasmus Rønnebergs gate 21,6002.0,ÅLESUND,NO,Norge
916290713,OSEN LANDHANDLERI AS,Osveien 2450,2460.0,OSEN,NO,Norge
916293216,MABO UNDERVISNING OG PEDAGOGISK VEILEDNING AS,Lathari 35,9517.0,ALTA,NO,Norge
916580150,MICROEVENT NORWAY Ø.RUSTEN,Holmenveien 95,376.0,OSLO,NO,Norge
917134650,ONEMED SERVICES AS,Bølerveien 63,2020.0,SKEDSMOKORSET,NO,Norge
917683042,SECTRA EIENDOMSUTVIKLING AS,Tjuvholmen allé 3,252.0,OSLO,NO,Norge
919041021,NEONOMICS AS,Torggata 15,181.0,OSLO,NO,Norge
919371153,HIGHER PERSPECTIVES AS,Sandtuene 4B,4034.0,STAVANGER,NO,Norge
920169066,AQUERY AS,Kastellstubben 8,2080.0,EIDSVOLL,NO,Norge
920287875,SITEP AS,Årdalsvegen 3,6884.0,ØVRE ÅRDAL,NO,Norge
920466486,AT TØMRER AS,Rettenveien 20D,1466.0,STRØMMEN,NO,Norge
921082282,HATLEBAKK YNWA,Ramstadveien 561,9441.0,FJELLDAL,NO,Norge
921186738,STRATEGY TOOLS AS,Ulsbergleitet 27,4034.0,STAVANGER,NO,Norge
922022321,SPORT 1 OVE AUNLI AS,Industriveien 1,7200.0,KYRKSÆTERØRA,NO,Norge
934409973,NOR-DAX AS,Bekkajordet 11,3189.0,HORTEN,NO,Norge
940354137,FISHER SCIENTIFIC AS,Ullernchausséen 52,379.0,OSLO,NO,Norge
943189145,PRAXIS ARBEIDS OG FRITIDSKLÆR AS,Chr. Dahls gate 10,2615.0,LILLEHAMMER,NO,Norge
948239833,FIKSERN AS,Wedel Jarlsbergs vei 36,1358.0,JAR,NO,Norge
952094718,NORMEDIN AS,Rektor Østbyes gate 4,1604.0,FREDRIKSTAD,NO,Norge
955671678,NORSK LABEX AS,Slemmestadveien 416,1390.0,VOLLEN,NO,Norge
958110286,LØRENSKOG VVS AS,Øvre Rælingsvei 82,2005.0,RÆLINGEN,NO,Norge
970926240,KRAN OG MASKINSERVICE AS,Rudsflata 2,2360.0,RUDSHØGDA,NO,Norge
971061928,TROND HAUKEDAL AS,Sandviksveien 110,5035.0,BERGEN,NO,Norge
971165138,LISTA AIRPORT DEVELOPMENT AS,Torvet 3,4550.0,FARSUND,NO,Norge
971178264,CIDERHUSET v/Åge Eitungjerde,Sjøtunsvegen 34,6899.0,BALESTRAND,NO,Norge
971253274,HENNING J HELLUM DR SPESIALIST I NEVROLOGI,Kirkebrygga 2-4,1607.0,FREDRIKSTAD,NO,Norge
974401622,GUNDERSEN EIENDOM AS,Åsveien 2,3475.0,SÆTRE,NO,Norge
974644614,BUSKERUD FYLKESKOMMUNE SENTRALADMINISTRASJON,Hauges gate 89,3019.0,DRAMMEN,NO,Norge
976985737,LØDINGEN SOKN,Rådhusvegen 27,8410.0,LØDINGEN,NO,Norge
976990625,TØNSBERG KIRKELIGE FELLESRÅD,Storgaten 52,3126.0,TØNSBERG,NO,Norge
978689450,BILPLEIESENTERET AS,Ingeniør Rybergs gate 99,3027.0,DRAMMEN,NO,Norge
980801128,ASKIMCONSULT ANS,Skolegata 16,1831.0,ASKIM,NO,Norge
981957393,BROVEIEN INVEST AS,c/o Rekasnets AS Billingstadsletta 25,1396.0,BILLINGSTAD,NO,Norge
983570380,AV DESIGN LYS LYD BILDE AS,Lundliveien 11,584.0,OSLO,NO,Norge
983906982,STIFTELSEN EVENTYRBRUA STEINERBARNEHAGE,Hus 8/9 Storgata 55,182.0,OSLO,NO,Norge
984053452,MERIVAARA AS,Karoline Kristiansens vei 6,661.0,OSLO,NO,Norge
984283725,SAMEIET CENTRUMSBYGGET,c/o Klinikk for Alle Rogaland AS Solakrossen 11,4050.0,SOLA,NO,Norge
984774699,HELLE HAUGENES,Skogduevegen 2,2032.0,MAURA,NO,Norge
985615942,INSTELL AS,Gjerdrums vei 16,484.0,OSLO,NO,Norge
985656290,GJERPENSGATE 10-20 ANS,C/O Castelar Corporate Finance Dronning Mauds gate 1,250.0,OSLO,NO,Norge
986386645,ERMATECH AS,Steinsvikskrenten 49,5237.0,RÅDAL,NO,Norge
986406115,SAMEIET VÅR FRUESGT 2,Vår Frue gate 2,7013.0,TRONDHEIM,NO,Norge
987852208,ROCHE DIAGNOSTICS NORGE AS,Brynsengfaret 6B,667.0,OSLO,NO,Norge
988251607,AVENCO AS,Fornebusvingen 55,1367.0,SNARØYA,NO,Norge
988517860,FORSVARETS LOGISTIKKORGANISASJON FLO,Grev Wedels plass 9,151.0,OSLO,NO,Norge
989223941,MOV INVEST AS,Nedre Furmyrhatlen 10,6018.0,ÅLESUND,NO,Norge
989663984,ST ALLIANCE AS,Bønsdalvegen 39,2073.0,BØN,NO,Norge
989839993,JØRGEN HOLMEFJORD AS,Jernkroken 9,976.0,OSLO,NO,Norge
990041377,ROMSDALSKVARTALET AS,Nøisomhed,6405.0,MOLDE,NO,Norge
990694451,SKODSBERG INVEST AS,Skodsberg,1798.0,AREMARK,NO,Norge
991367381,BOLIGSAMEIET LUND ØSTRE,Jørgen Hegstads vei 2-8,7089.0,HEIMDAL,NO,Norge
992766085,SNEKKERITUNET BORETTSLAG,Snekkeritunet Borettslag Severin Broens gate 45,7503.0,STJØRDAL,NO,Norge
992823674,ADVOKATFIRMAET SVARDAL,Storgata 7,2000.0,LILLESTRØM,NO,Norge
